userId,username,xp,level
780901071425634304,wosky_,80,2
1129150966013374514,oleh_rezerv.,50,1
847731321489195009,mrxs0,70,2
828100639866486795,Don't Panic!,536,13
717734323364823042,rippleiscute,107,5
939658538022744164,i_love_pigeon,154,4
404468475516420096,firefly707,4,4
789258242235695145,Carl-bot Logging,223,8
828365953136984075,dannyoboy,30,2
875595707447390258,ravena4833,70,1
792727017342238730,calypsoiscrazy,60,1
938931317981204510,brotato2113,10,1
834775812729077800,taking_a_nap,50,1
499681310592335892,beberka,10,1
726515812361437285,numselli,10,1
1078774479326548018,lyrox_marka999,20,1
1131228493728976937,realemiryan19,40,1
1134577257462104105,United1545,10,1
658650643145293824,awareyk,10,1
627457994875076608,nvdtn19vn,10,1
917761628924149771,Swelly,10,1
492797767916191745,GetBeaned,10,1
957901613463380008,Smooth,10,1
551829966602502183,JeggyBot,10,1
941681961859158017,Noise,10,1
904317141866647592,AVON,10,1
297153970613387264,Loritta,10,1
845243066821902346,Teda,10,1
790951045353963551,Ocavy,10,1
228537642583588864,Vexera,10,1
922964160176877688,Radeon,10,1
1084543171905736814,ZeroBot,30,1
1114556450187001907,rainbow_tim,10,1
806214678627483651,Pengu,80,1
1071376465318379520,Pinned Messages,70,1
641385620530266125,Helper.gg,10,1
513423712582762502,TTS Bot,10,1
743737747407372308,Nick Bot,10,1
286697179949694977,BOT Chicken,40,1
398344371201769473,TheFakeWorld,40,1
1066057160125059112,Reedroux,40,1
675996677366218774,PixxieBot,10,1
837324086719021106,Roger,40,1
882222486475907113,astro dog,10,1
972994201195278346,My Cute Robot,10,1
242730576195354624,Auttaja,10,1
1012665558845624420,Brutal,60,1
956551837274751016,Catchy,50,1
543225764036870167,WidgetBot,10,1
756523167903776851,Anju,40,1
735457450735697951,Téo,10,1
457573832350236672,Friendlybot,10,1
1047925649039429692,s11esportsrenko,10,1
968594630276948009,c._4.,10,1
1132943335414304788,owo__8056,10,1
856594604812009502,toxic1835,10,1
499974131572539392,mad_rage,20,1
747337455782461482,_.faiyaz_,50,1
463388759866474506,Pineapple,20,1
921680086829260821,Rolex,20,1
752067809214857298,Dredd,10,1
193959067671068673,Ayana Beta,60,1
1133516195983790081,Ryzen,40,1
661660243033456652,zerodivisionerror,10,1
956315452223684640,legendsofngdb,40,1
1121541967730450574,SkyHelper,60,1
990044779800825856,NGDB™,10,1
1154095357551194203,exe,40,1
1046075493121794120,Toquinho ²,20,1
1012095607957110885,Лисёнок,20,1
538316380349661194,jeremy123g,19,6
781936353498759168,harmharm.,209,6
1136500032523206798,sheluvbandofr,10,1
345288889633734657,tiddylovr,130,2
515614459549581342,noaho325,474,9
593094474004168711,alanwen,100,1
873934253468024852,Invite Management,10,1
768534891154374768,InviteManagement,10,1
758592094964285441,InviteManager,50,1
739655534583480481,slider_plays,303,8
1114019689283211364,yae._miku,20,1
1153134189688934470,Levlr,10,1
1137563677285961850,Notes,0,2
983555043456352326,infinity_and_beyond123,40,1
1139641684079149176,Just Tickets,10,1
221930583335501824,catualus,10,1
276730462464901121,marco1223,30,1
614257135097872410,rlp81,10,1
1031668991854387251,elijahanine,20,1
782053704227487754,Botomir,60,1
883214512398925884,asraf.firdaus_,10,1
227835375643656192,sixiep,10,1
874625603310059530,mario84920,10,2
781294735167193099,FlashSystem,20,1
1054107312312291378,Fancycord (Witchcord),20,1
884321911876775946,Fairy,10,1
638872307263340555,Fusion,10,1
1020554741157220412,Fénix,10,1
877347017544855612,xlilcreeperx,10,1
755487116615745607,oq_x,110,2
545581357812678656,megumin,60,2
338222603829510164,Atlas,10,1
1158483692696641669,WeloYT's Server #🎥┃youtube-content,90,1
1144467628954505226,Dino Bot,10,1
837160070919880714,lokthemagician105,110,1
490856805539250177,s0lverin,50,1
1158454975068913728,funnyguy0547,60,2
